Area,Value,Type,Cluster,
Belgium,0.274506589,Food Waste Disposal CH4,1,
Bulgaria,0.457508619,Food Waste Disposal CH4,3,
Croatia,0.694239988,Food Waste Disposal CH4,3,
Cyprus,0.816782588,Food Waste Disposal CH4,2,
Czechia,0.490799456,Food Waste Disposal CH4,3,
Denmark,0.222452475,Food Waste Disposal CH4,1,
Estonia,0.631384947,Food Waste Disposal CH4,3,
Finland,0.294589761,Food Waste Disposal CH4,1,
France,0.336446032,Food Waste Disposal CH4,2,
Germany,0.269488994,Food Waste Disposal CH4,1,
Greece,1.600905385,Food Waste Disposal CH4,2,
Hungary,1.120770758,Food Waste Disposal CH4,3,
Ireland,0.555443518,Food Waste Disposal CH4,1,
Italy,0.339083101,Food Waste Disposal CH4,2,
Latvia,0.387606868,Food Waste Disposal CH4,3,
Lithuania,0.650693755,Food Waste Disposal CH4,3,
Luxembourg,0.456243321,Food Waste Disposal CH4,1,
Malta,1.174509614,Food Waste Disposal CH4,2,
Netherlands,0.254217861,Food Waste Disposal CH4,1,
Poland,0.976232422,Food Waste Disposal CH4,3,
Portugal,0.957175531,Food Waste Disposal CH4,2,
Romania,0.646498192,Food Waste Disposal CH4,3,
Slovakia,0.565064287,Food Waste Disposal CH4,3,
Slovenia,0.679753729,Food Waste Disposal CH4,3,
Spain,0.88332104,Food Waste Disposal CH4,2,
Sweden,0.210782232,Food Waste Disposal CH4,1,
